acc_no,author,title,publisher_info,year,isbn,storage_loc,subject,class_no
B6102,Young (L),Paralle coupled lines and directional couplers,Artech House,1972.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3.051.2 YOU
B16499,Chute (MG),Electronics in industry,"McGrow-Hill Book Company ,INC",1979.0,0070109346,TLC-R-4-S-74,Electrical /Electroanics,621.3 CHU
B3013,Graham (FD),Audels new electric Library (V5),D.B Tarapoevala Sons & Co.Pvt. LTD,1929.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 GRA
B18290,Lesnieski (PJ),Digital circuits,BPB Publications,1994.0,8170294169,TLC-R-4-S-74,Electrical /Electroanics,621.3 LES
B16489,Hood (LJ),The art of linear electronics,Butter word heinemann,1993.0,0750608684,TLC-R-4-S-74,Electrical /Electroanics,621.3 HOO
B3125,Unknown Author,Basic Electroics,new york,,,TLC-R-4-S-74,Electrical /Electroanics,621.3
B14146,.,Programmable electronic Systems,Elsevies / London,1986.0,1851660178,TLC-R-4-S-74,Electrical /Electroanics,621.3 DAN
B6898,Gray (EP),Electronice Principles,Wiley Eastern unviersity edition,1969.0,085226333,TLC-R-4-S-74,Electrical /Electroanics,621.3 GRA
B21876,Lau (HJ),Reliabilty of rohs- Compliant 2D and 3D IC Interconnects,McGraw-Hill New york,2011.0,9780071753791,TLC-R-4-S-74,Electrical /Electroanics,621.3 LAU
B4714,Chand (T),Engineering economics,"Nem Chand & Bros , Roorkee (UP)",1968.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 CHA
B9538,Kakkar (KC),Fitter trade manual,new heights publishers,,,TLC-R-4-S-74,Electrical /Electroanics,621.3 KAK
B18644,Aanwani (ML),Engineering drawing,Dhanpat rai & co (p) ltd,1999.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 ASH
B15265,Unknown Author,Electonics Projests (V2),,1983.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3…
B18951-DUP2,Bell (DA),Fundamentals of electronic devices,D.B Tarapoevala Sons & Co.Pvt. LTD,1979.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 BEL
B18649,Bell (DA),Fundamentals of electronic devices,D.B Tarapoevala Sons & Co.Pvt. LTD,1979.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 BEL
B930,Stewart (JL),Circuit Theory and Design,"John Wiley & Sons , INC",1956.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 SET
B14478,Toro,electrical engg fundamentals,Prentice-Hill Englewood cliiffs,1986.0,0132471310,TLC-R-4-S-74,Electrical /Electroanics,621.3 TOR
B13255,Dass (BA),Electrical Workshop Engineering and practice,New Heights,,,TLC-R-4-S-74,Electrical /Electroanics,621.3 DAS
18907,Sharma (A),Audio video and t.v engineering,Dhanpat rai & co (p) ltd,1991.0,,TLC-R-4-S-74,Electrical /Electroanics,621.3 SHA
AUTO-00065,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B2722,Wesley,How to Write Effective Repoets,Addison-Wesley publishing Company Inc,1965.0,,TLC-R-4-S-75,Management Reports,651.7 WEL
B14576,Sayle (AJ),Management Audits,Quality Press,1988.0,095117391X,TLC-R-4-S-75,Management Reports,651.7 SAY
B522,Gpwers (SE),The complete Plain Words,her Majesty's stationery office / London,1954.0,,TLC-R-4-S-75,Management Reports,651.7 GOW
B12743,Holtz (H),The consultants guide to proposal writing,"John Wiley & Sons , INC new york",1986.0,0471830445,TLC-R-4-S-75,Management Reports,651.7 HOL
B19524,Lannon (JM),Technical Communication,"Longman Scintific Technical ,new york",2003.0,0321089790,TLC-R-4-S-75,Management Reports,651.7 lan
B3452,Tichy (HJ),Effective Writing,"John Wiley & Sons , INC new york",1966.0,,TLC-R-4-S-75,Management Reports,651.7 TIC
B19922,Arceivala (SJ),Wasrewarer treatment for Pollution control,"Tata McGraw-Hill Publishing company Ltd , New Delhi",1998.0,0074630024,TLC-R-4-S-75,Management Reports,651.7 ARC
B15139,Iyer (RR),A Grammar of Public Enterprises,"Rawat Publications ,new delhi",1991.0,,TLC-R-4-S-75,Management Reports,651.7 LYE
B22543,Tracy (JA),How to read a Financial Repot,"John Wiley & Sons , INC new york",2014.0,9781118735848,TLC-R-4-S-75,Management Reports,651.7 TRA
B10849,Ogiluy (D),Confessions of an Advertising man,Atheneum New York,1963.0,0689706014,TLC-R-4-S-75,Management Reports,651.7 OGI
B4539,Singh (J),Indian armed forces year book 1970,"Dynacraft machine co.pvt.ltd, Bombay",,,TLC-R-4-S-75,Management Reports,651.7 SIN
